Match_no,Ballnumber,Inningno,Over,Outcome,Batter,Bowler,Comment,Score,runs
1,1,1,0,0,devon conway,Mohammed Shami,"mohammed shami to devon conway, no run,",0,0
1,2,1,0,1lb,devon conway,Mohammed Shami,"mohammed shami to devon conway, 1 leg bye,",1,0
1,3,1,0,0,ruturaj gaikwad,Mohammed Shami,"mohammed shami to ruturaj gaikwad, no run,",0,0
1,4,1,0,1,ruturaj gaikwad,Mohammed Shami,"mohammed shami to ruturaj gaikwad, 1 run,",1,1
1,5,1,0,0,devon conway,Mohammed Shami,"mohammed shami to devon conway, no run,",0,0
1,6,1,0,0,devon conway,Mohammed Shami,"mohammed shami to devon conway, no run,",0,0
1,7,1,1,4,ruturaj gaikwad,Hardik Pandya,"hardik pandya to ruturaj gaikwad, four,",4,4
1,8,1,1,0,ruturaj gaikwad,Hardik Pandya,"hardik pandya to ruturaj gaikwad, no run,",0,0
1,9,1,1,4,ruturaj gaikwad,Hardik Pandya,"hardik pandya to ruturaj gaikwad, four,",4,4
1,10,1,1,1,ruturaj gaikwad,Hardik Pandya,"hardik pandya to ruturaj gaikwad, 1 run,",1,1
1,11,1,1,1,devon conway,Hardik Pandya,"hardik pandya to devon conway, 1 run,",1,1
1,12,1,1,1,ruturaj gaikwad,Hardik Pandya,"hardik pandya to ruturaj gaikwad, 1 run,",1,1
1,13,1,2,1,ruturaj gaikwad,Mohammed Shami,"mohammed shami to ruturaj gaikwad, 1 run,",1,1
1,14,1,2,w,devon conway,Mohammed Shami,"mohammed shami to devon conway, no run,                           wicket - b m shami batsmen out 1(6)",0,0
1,15,1,2,0,moeen ali,Mohammed Shami,"mohammed shami to moeen ali, no run,",0,0
1,16,1,2,0,moeen ali,Mohammed Shami,"mohammed shami to moeen ali, no run,",0,0
1,17,1,2,0,moeen ali,Mohammed Shami,"mohammed shami to moeen ali, no run,",0,0
1,18,1,2,0,moeen ali,Mohammed Shami,"mohammed shami to moeen ali, no run,",0,0
1,19,1,3,6,ruturaj gaikwad,Josh Little,"josh little to ruturaj gaikwad, six,",6,6
1,20,1,3,4,ruturaj gaikwad,Josh Little,"josh little to ruturaj gaikwad, four,",4,4
1,21,1,3,1,ruturaj gaikwad,Josh Little,"josh little to ruturaj gaikwad, 1 run,",1,1
1,22,1,3,0,moeen ali,Josh Little,"josh little to moeen ali, no run,",0,0
1,23,1,3,4,moeen ali,Josh Little,"josh little to moeen ali, four,",4,4
1,24,1,3,0,moeen ali,Josh Little,"josh little to moeen ali, no run,",0,0
1,25,1,4,0,ruturaj gaikwad,Mohammed Shami,"mohammed shami to ruturaj gaikwad, no run,",0,0
1,26,1,4,1,ruturaj gaikwad,Mohammed Shami,"mohammed shami to ruturaj gaikwad, 1 run,",1,1
1,27,1,4,4,moeen ali,Mohammed Shami,"mohammed shami to moeen ali, four,",4,4
1,28,1,4,1nb,moeen ali,Mohammed Shami,"mohammed shami to moeen ali, 1 no ball,",1,0
1,29,1,4,6,moeen ali,Mohammed Shami,"mohammed shami to moeen ali, six,",6,6
1,30,1,4,4,moeen ali,Mohammed Shami,"mohammed shami to moeen ali, four,",4,4
1,31,1,4,1,moeen ali,Mohammed Shami,"mohammed shami to moeen ali, 1 run,",1,1
1,32,1,5,0,moeen ali,Rashid Khan,"rashid khan to moeen ali, no run,",0,0
1,33,1,5,0,moeen ali,Rashid Khan,"rashid khan to moeen ali, no run,",0,0
