,movie_id,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
0,movie_0001,Dragon Legend,Stand-up Comedy,History,Thriller,2014,35.0,TV-Y,French,Japan,movie_0034,movie_0034,movie_0034,movie_0034,movie_0034,0,2023-08-07,0
1,movie_0002,Storm Warrior,Stand-up Comedy,Sci-Fi,movie_0034,2017,37.0,PG,Japanese,USA,3.3,movie_0034,movie_0034,movie_0034,movie_0034,0,2022-01-28,1
2,movie_0003,Fire Family,Movie,Drama,movie_0034,2003,142.0,TV-MA,English,USA,8.5,2114120.0,movie_0034,movie_0034,movie_0034,0,2021-05-04,1
3,movie_0004,Our Princess,Documentary,Sci-Fi,movie_0034,2011,131.0,NC-17,Japanese,USA,5.3,movie_0034,movie_0034,movie_0034,movie_0034,0,2022-11-26,0
4,movie_0005,Warrior Mission,Documentary,Sport,Mystery,2015,91.0,TV-G,English,USA,3.1,movie_0034,movie_0034,movie_0034,movie_0034,0,2023-06-15,0
5,movie_0006,Kingdom Phoenix,Movie,Documentary,Music,1997,113.0,PG-13,English,USA,8.0,4214426.0,792291.0,movie_0034,movie_0034,0,2021-01-21,0
6,movie_0007,Battle Story,TV Series,Sci-Fi,movie_0034,2003,52.0,TV-Y7,English,USA,movie_0034,movie_0034,movie_0034,movie_0034,158.0,0,2021-11-30,0
7,movie_0008,Old House,Movie,Horror,movie_0034,1991,109.0,TV-Y,Spanish,South Korea,7.7,629216.0,3995303.0,movie_0034,movie_0034,0,2020-10-04,0
8,movie_0009,Dragon Empire,Movie,Biography,movie_0034,2013,123.0,PG,Spanish,USA,8.4,movie_0034,movie_0034,movie_0034,movie_0034,0,2024-05-09,0
9,movie_0010,Dream War,Limited Series,Thriller,Animation,2019,49.0,TV-Y,Italian,Japan,8.2,movie_0034,movie_0034,12.0,32.0,0,2021-09-20,0
10,movie_0011,Day Dream,Movie,Western,movie_0034,2022,148.0,R,English,USA,movie_0034,16018207.0,movie_0034,movie_0034,movie_0034,1,2025-06-02,0
11,movie_0012,Bright War,Movie,Crime,Sci-Fi,1997,95.0,G,English,South Korea,9.9,movie_0034,72997481.0,movie_0034,movie_0034,0,2025-05-22,0
12,movie_0013,Dream Journey,Movie,Romance,movie_0034,2013,138.0,PG,English,Germany,8.6,1758821.0,3573506.0,movie_0034,movie_0034,0,2021-01-20,1
13,movie_0014,Little War,Movie,Mystery,movie_0034,1990,117.0,TV-14,Korean,Japan,8.4,movie_0034,32793336.0,movie_0034,movie_0034,1,2020-10-01,0
14,movie_0015,Hero Empire,Movie,Sci-Fi,Mystery,2012,108.0,TV-G,English,UK,movie_0034,2006408.0,movie_0034,movie_0034,movie_0034,0,2022-09-18,0
15,movie_0016,Last Dream,TV Series,Family,movie_0034,1999,54.0,PG-13,Spanish,USA,6.0,movie_0034,movie_0034,movie_0034,139.0,0,2022-01-19,0
16,movie_0017,Kingdom Battle,Stand-up Comedy,War,movie_0034,2018,72.0,NC-17,Italian,UK,5.9,movie_0034,movie_0034,movie_0034,movie_0034,1,2021-10-13,0
17,movie_0018,Princess Phoenix,Movie,Adventure,movie_0034,2011,116.0,PG,English,France,7.6,10555440.0,7278095.0,movie_0034,movie_0034,1,2021-04-04,0
18,movie_0019,An Legend,Limited Series,Sci-Fi,Crime,2004,48.0,TV-PG,English,UK,9.3,movie_0034,movie_0034,1,155.0,0,2022-05-12,0
19,movie_0020,An Mystery,TV Series,Fantasy,movie_0034,2009,41.0,PG-13,English,Canada,7.1,movie_0034,movie_0034,14.0,168.0,0,2022-08-21,0
20,movie_0021,Family Love,Limited Series,Family,Thriller,2020,52.0,TV-PG,English,USA,8.5,movie_0034,movie_0034,5.0,106.0,0,2023-07-25,0
21,movie_0022,First Mystery,Movie,Sci-Fi,movie_0034,1998,115.0,TV-PG,English,South Korea,movie_0034,2934549.0,40080746.0,movie_0034,movie_0034,1,2022-09-12,0
22,movie_0023,Mystery Night,TV Series,Adventure,movie_0034,2020,60.0,TV-MA,English,USA,4.8,movie_0034,movie_0034,6.0,197.0,1,2024-10-18,0
23,movie_0024,Fire Mystery,Movie,Biography,movie_0034,1990,114.0,TV-Y7,English,South Korea,4.4,895311.0,52104449.0,movie_0034,movie_0034,0,2023-04-04,0
24,movie_0025,Quest Queen,Movie,Family,movie_0034,2013,127.0,PG,English,UK,9.2,movie_0034,1286089.0,movie_0034,movie_0034,0,2024-12-21,0
25,movie_0026,Last Love,TV Series,Comedy,movie_0034,2000,78.0,PG,English,India,8.6,movie_0034,movie_0034,10.0,121.0,0,2025-02-23,0
26,movie_0027,House House,Stand-up Comedy,Western,movie_0034,2012,60.0,PG-13,English,South Korea,7.0,movie_0034,movie_0034,movie_0034,movie_0034,1,2021-09-19,0
27,movie_0028,Legend Hero,Stand-up Comedy,Biography,Romance,2003,417.0,PG,French,USA,movie_0034,movie_0034,movie_0034,movie_0034,movie_0034,0,2024-01-07,0
28,movie_0029,Dark Princess,Movie,Horror,Sport,1998,117.0,PG,English,Japan,5.4,movie_0034,6128075.0,movie_0034,movie_0034,0,2022-04-16,0
29,movie_0030,Dragon King,Movie,Documentary,movie_0034,2017,151.0,G,English,India,7.5,movie_0034,9373734.0,movie_0034,movie_0034,0,2024-06-10,1
30,movie_0031,Warrior War,Movie,Romance,movie_0034,2024,129.0,TV-Y7,English,USA,4.7,movie_0034,2057069.0,movie_0034,movie_0034,0,2022-06-10,0
31,movie_0032,House Hero,TV Series,Crime,movie_0034,2000,31.0,TV-Y7,German,UK,movie_0034,movie_0034,movie_0034,3.0,24.0,0,2024-02-13,0
32,movie_0033,Mystery City,Movie,Horror,movie_0034,1995,116.0,TV-MA,Korean,USA,7.3,movie_0034,movie_0034,movie_0034,movie_0034,0,2022-06-24,0
33,movie_0034,Mission Kingdom,TV Series,War,Horror,2018,48.0,TV-PG,English,India,7.7,movie_0034,movie_0034,14.0,138.0,1,2023-10-22,1
34,movie_0035,Princess Love,TV Series,Family,Romance,1994,38.0,TV-PG,English,USA,7.4,movie_0034,movie_0034,movie_0034,62.0,0,2021-03-01,0
35,movie_0036,House Legend,TV Series,Adventure,Action,2018,61.0,PG-13,Spanish,Germany,6.5,movie_0034,movie_0034,10.0,57.0,0,2025-04-18,0
36,movie_0037,Empire King,TV Series,Comedy,movie_0034,2011,51.0,TV-G,French,USA,movie_0034,movie_0034,movie_0034,5.0,23.0,0,2025-05-02,0
37,movie_0038,A Empire,Movie,Action,movie_0034,1993,98.0,TV-MA,Korean,USA,5.6,3127772.0,391629433.0,movie_0034,movie_0034,1,2021-06-29,0
38,movie_0039,Love Queen,Movie,Mystery,movie_0034,2019,80.0,PG-13,German,USA,7.3,5603605.0,movie_0034,movie_0034,movie_0034,0,2022-01-10,0
39,movie_0040,Mystery Quest,Movie,War,Music,2005,116.0,PG-13,Japanese,UK,6.4,1816487.0,2016406.0,movie_0034,movie_0034,0,2023-02-04,0
40,movie_0041,Kingdom War,Documentary,Biography,Sport,2003,83.0,TV-14,English,USA,movie_0034,movie_0034,movie_0034,movie_0034,movie_0034,0,2023-03-23,0
41,movie_0042,First Hero,Movie,Action,movie_0034,2020,452.0,TV-G,Hindi,India,6.7,2146992.0,55547817.0,movie_0034,movie_0034,1,2024-06-01,0
42,movie_0043,City Queen,Documentary,Family,movie_0034,2005,80.0,PG-13,Spanish,USA,6.3,movie_0034,movie_0034,movie_0034,movie_0034,0,2022-12-12,0
43,movie_0044,Dragon City,Stand-up Comedy,War,Documentary,1998,379.0,TV-G,English,USA,5.2,movie_0034,movie_0034,movie_0034,movie_0034,0,2023-01-31,0
44,movie_0045,Battle Day,Documentary,History,movie_0034,2003,92.0,PG,English,USA,5.4,movie_0034,movie_0034,movie_0034,movie_0034,1,2025-02-18,0
45,movie_0046,The Dragon,TV Series,Family,movie_0034,2002,43.0,PG-13,English,USA,6.7,movie_0034,movie_0034,8.0,113.0,0,2023-08-15,0
46,movie_0047,Day Journey,TV Series,Thriller,movie_0034,2008,47.0,PG,English,Japan,5.4,movie_0034,movie_0034,9.0,54.0,0,2020-12-15,0
47,movie_0048,Secret Legend,Movie,Family,movie_0034,1994,102.0,TV-14,Hindi,UK,movie_0034,93953191.0,835652471.0,movie_0034,movie_0034,0,2024-08-30,0
48,movie_0049,Kingdom Day,Movie,Thriller,movie_0034,2023,111.0,NC-17,English,Germany,4.6,629194.0,2736647.0,movie_0034,movie_0034,0,2024-03-03,0
49,movie_0050,Last Quest,TV Series,Biography,movie_0034,2015,41.0,TV-PG,French,USA,6.1,movie_0034,movie_0034,8.0,116.0,0,2023-08-10,0
50,movie_0051,Hero Mystery,TV Series,Western,Comedy,1995,52.0,TV-PG,English,USA,8.0,movie_0034,movie_0034,12.0,178.0,0,2023-09-10,0
51,movie_0052,Hero Journey,Movie,Sport,Biography,2002,104.0,PG-13,Italian,USA,4.9,6117844.0,16638609.0,movie_0034,movie_0034,1,2022-11-01,0
52,movie_0053,Princess City,Documentary,History,movie_0034,2018,90.0,TV-Y7,English,Canada,4.7,movie_0034,movie_0034,movie_0034,movie_0034,0,2022-02-28,0
53,movie_0054,Phoenix Journey,TV Series,Romance,History,2021,35.0,TV-MA,English,France,8.8,movie_0034,movie_0034,movie_0034,78.0,0,2024-11-17,0
54,movie_0055,Queen Quest,Movie,Sci-Fi,movie_0034,2002,84.0,G,Italian,India,4.7,6494786.0,movie_0034,movie_0034,movie_0034,1,2023-11-21,1
55,movie_0056,Big Princess,Movie,Adventure,Comedy,1997,137.0,TV-Y,English,USA,6.2,3593765.0,2259750.0,movie_0034,movie_0034,1,2021-01-18,0
56,movie_0057,Mission Dream,Movie,Biography,movie_0034,2017,82.0,TV-14,Spanish,USA,5.9,4186498.0,7674756.0,movie_0034,movie_0034,1,2021-10-30,0
57,movie_0058,Day Mystery,Stand-up Comedy,Drama,movie_0034,2020,57.0,R,English,USA,6.6,movie_0034,movie_0034,movie_0034,movie_0034,1,2022-10-16,0
58,movie_0059,Night Secret,TV Series,Romance,Sci-Fi,1992,580.0,TV-14,French,USA,6.3,movie_0034,movie_0034,4.0,42.0,1,2020-08-24,0
59,movie_0060,Night Warrior,TV Series,Biography,movie_0034,1993,44.0,PG-13,English,USA,4.9,movie_0034,movie_0034,10.0,46.0,0,2024-08-08,0
60,movie_0061,Journey Night,Movie,Drama,movie_0034,2017,100.0,TV-MA,English,UK,6.9,11264097.0,movie_0034,movie_0034,movie_0034,0,2021-11-25,0
61,movie_0062,Phoenix Mission,Movie,Action,movie_0034,2012,129.0,TV-Y,English,USA,4.4,4494260.0,53848956.0,movie_0034,movie_0034,0,2022-08-16,0
62,movie_0063,Hero Kingdom,Movie,Adventure,movie_0034,1997,165.0,G,Hindi,UK,6.9,1360448.0,656952.0,movie_0034,movie_0034,0,2021-04-22,0
63,movie_0064,Last City,Documentary,Animation,Crime,1994,115.0,TV-PG,Japanese,South Korea,5.8,movie_0034,movie_0034,movie_0034,movie_0034,0,2021-07-03,0
64,movie_0065,Day Queen,Movie,Sport,movie_0034,1991,109.0,TV-14,Italian,USA,movie_0034,11397312.0,32147534.0,movie_0034,movie_0034,1,2024-11-16,0
65,movie_0066,Adventure King,Movie,Comedy,Romance,2013,104.0,TV-14,English,Canada,7.9,4687811.0,26772080.0,movie_0034,movie_0034,0,2022-06-24,0
66,movie_0067,Story Mystery,TV Series,Crime,movie_0034,2005,50.0,PG,English,USA,6.8,movie_0034,movie_0034,2.0,73.0,0,2023-05-21,0
67,movie_0068,Secret Night,TV Series,Horror,movie_0034,1994,46.0,R,English,USA,7.5,movie_0034,movie_0034,5.0,44.0,0,2021-10-22,0
68,movie_0069,An Quest,TV Series,Documentary,movie_0034,2020,42.0,NC-17,Spanish,South Korea,8.1,movie_0034,movie_0034,9.0,6.0,0,2024-02-13,0
69,movie_0070,Battle City,Documentary,Biography,movie_0034,2023,81.0,R,Hindi,France,6.5,movie_0034,movie_0034,movie_0034,movie_0034,0,2022-12-31,1
70,movie_0071,Phoenix Ice,TV Series,Music,Sci-Fi,2016,70.0,TV-MA,English,Canada,6.7,movie_0034,movie_0034,3.0,79.0,1,2024-06-17,0
71,movie_0072,Storm Warrior,Limited Series,Sci-Fi,Drama,2015,73.0,TV-14,French,South Korea,movie_0034,movie_0034,movie_0034,14.0,75.0,0,2021-06-09,0
72,movie_0073,House Family,TV Series,Action,movie_0034,2021,42.0,TV-PG,German,Canada,4.8,movie_0034,movie_0034,5.0,121.0,1,2023-03-24,0
73,movie_0074,Dark Ice,Movie,Comedy,movie_0034,2005,150.0,PG,English,Canada,movie_0034,1915176.0,3628760.0,movie_0034,movie_0034,1,2021-11-07,0
74,movie_0075,War Hero,TV Series,Animation,Crime,2016,18.0,TV-PG,English,USA,6.5,movie_0034,movie_0034,1,177.0,0,2023-04-21,1
75,movie_0076,Empire Battle,Movie,Family,Documentary,2023,108.0,G,English,USA,6.8,20837483.0,4643156.0,movie_0034,movie_0034,1,2023-05-30,0
76,movie_0077,Our Battle,TV Series,War,History,2018,26.0,TV-14,English,USA,6.4,movie_0034,movie_0034,5.0,95.0,1,2024-12-03,0
77,movie_0078,Little War,Movie,Fantasy,Mystery,1999,143.0,NC-17,Hindi,USA,movie_0034,1035450.0,movie_0034,movie_0034,movie_0034,0,2022-03-30,0
78,movie_0079,Mission Dream,Movie,War,movie_0034,2005,414.0,TV-G,Hindi,USA,5.9,4204348.0,24367896.0,movie_0034,movie_0034,0,2021-02-07,0
79,movie_0080,Day Queen,Movie,Documentary,Documentary,2014,89.0,TV-Y,English,USA,7.8,5453306.0,32981493.0,movie_0034,movie_0034,0,2022-12-26,0
80,movie_0081,Mission Fire,Movie,Documentary,movie_0034,2023,119.0,TV-14,Italian,Japan,7.8,22471820.0,5603722.0,movie_0034,movie_0034,0,2021-06-05,0
81,movie_0082,Bright Phoenix,Movie,Western,movie_0034,1995,408.0,TV-MA,German,South Korea,4.6,8461755.0,173407724.0,movie_0034,movie_0034,1,2021-04-14,0
82,movie_0083,Journey Phoenix,Movie,Sci-Fi,movie_0034,2024,101.0,TV-Y,English,USA,7.0,97100.0,69320180.0,movie_0034,movie_0034,1,2020-08-14,1
